hostname,RX Gain A,RX Gain B,Timestamp,Circular Mean (degrees),Circular Std Dev (degrees)
T08,38,38,2025-04-16 15:17:29,-3.0171559753119155,0.01709305212377526
T08,38,38,2025-04-16 15:17:48,-3.0562056695555575,0.009557014780273607
T08,38,38,2025-04-16 15:18:07,-3.0416415788299753,0.009366699147796104
T08,38,38,2025-04-16 15:18:26,-3.054407024324994,0.021833499833700254
T08,38,38,2025-04-16 15:18:45,-3.023613334842005,0.013171206168195405
T08,38,38,2025-04-16 15:19:04,-3.059660322265573,0.017849996382736127
T08,38,38,2025-04-16 15:19:23,-3.0376691829799403,0.011845817856975733
T08,38,38,2025-04-16 15:19:42,-3.072728698712609,0.009904228258365061
T08,38,38,2025-04-16 15:20:01,-3.0403863468440058,0.04220729994908064
T08,38,38,2025-04-16 15:20:20,-3.0290657416133775,0.01431396468012102
T08,38,38,2025-04-16 15:20:39,-3.036515246635935,0.021442694436370396
T08,38,38,2025-04-16 15:20:58,-3.052596576817381,0.02108308693295537
T08,38,38,2025-04-16 15:21:17,-3.0702845715179325,0.02154235679305076
T08,38,38,2025-04-16 15:21:36,-3.004801933313816,0.027581843090123598
T08,38,38,2025-04-16 15:21:55,-5.147534510878661,2.038132989060205
T08,38,38,2025-04-16 15:22:14,-3.0470916205948035,0.0099740369349409
T08,38,38,2025-04-16 15:22:33,-3.061338951634745,0.026572164392446022
T08,38,38,2025-04-16 15:22:52,-3.0821839591097677,0.014818491615679228
T08,38,38,2025-04-16 15:23:11,-3.5951654628383847,1.2588386638956017
T08,38,38,2025-04-16 15:23:30,-3.033987242873114,0.0228333638548951
T08,38,38,2025-04-16 15:23:49,-3.0392906229421484,0.02247343303497326
T08,38,38,2025-04-16 15:24:08,-3.692232529279917,2.3286302979214764
T08,38,38,2025-04-16 15:24:27,-1.2274834216206607,2.1795770105409664
T08,38,38,2025-04-16 15:24:46,-2.3546450126430885,1.379100527728751
T08,38,38,2025-04-16 15:25:05,-3.0216717576776975,0.01401141046241204
T08,38,38,2025-04-16 15:25:24,-3.0776542284054256,0.02711747541784243
T08,38,38,2025-04-16 15:25:43,-3.0061611106886987,0.02071405786151405
T08,38,38,2025-04-16 15:26:02,-3.064333897337471,0.02426359285655607
T08,38,38,2025-04-16 15:26:21,-3.051305944051486,0.02277955240135137
T08,38,38,2025-04-16 15:29:03,-2.9835602811008815,0.03343292049691448
T08,38,38,2025-04-16 15:29:22,-3.0331021322916003,0.009042519374738744
T08,38,38,2025-04-16 15:29:41,-2.9948164051501003,0.026819495880188646
T08,38,38,2025-04-16 15:30:00,-3.075033698765335,0.013578891412166269
T08,38,38,2025-04-16 15:37:56,-3.0975019903698464,0.059084175825843036
T08,38,38,2025-04-16 15:38:15,-2.9528678970473905,0.06208348426387925
T08,38,38,2025-04-16 15:38:34,-3.0784275352204857,0.04669370737607485
T08,38,38,2025-04-16 15:38:53,-2.9707240773521395,0.04475596697921582
T08,38,38,2025-04-16 16:39:12,-3.0452594953437284,0.016155409385975556
T08,38,38,2025-04-16 16:39:31,-3.035934549097238,0.013816720522664366
T08,38,38,2025-04-16 16:39:50,-3.0413281705734256,0.017162225066369812
T08,38,38,2025-04-16 16:40:09,-3.0730237889045355,0.019597212306791966
T08,38,38,2025-04-16 17:40:28,-3.0495080679319684,0.013925075833655728
T08,38,38,2025-04-16 17:40:47,-3.044718677259699,0.0307246622454202
T08,38,38,2025-04-16 17:41:06,-3.022102835912828,0.020549512541105982
T08,38,38,2025-04-16 17:41:25,-2.9831623489463404,0.0425792853516571
T08,38,38,2025-04-16 18:41:44,-3.0457710629089383,0.014025542493276985
T08,38,38,2025-04-16 18:42:03,-3.052762784997453,0.013896530828043313
T08,38,38,2025-04-16 18:42:22,-5.460328766204493,2.029044605368173
T08,38,38,2025-04-16 18:42:41,-3.028239179841537,0.015858138833133386
T08,38,38,2025-04-16 19:43:00,-3.027282302688306,0.013898685552454928
T08,38,38,2025-04-16 19:43:19,-3.0675437909802015,0.031976616243006024
T08,38,38,2025-04-16 19:43:38,-5.606273107660023,1.964219546279624
T08,38,38,2025-04-16 19:43:57,-3.074555682682077,0.02253188866489798
T08,38,38,2025-04-16 20:44:16,-3.0508310847068905,0.011400468870680124
T08,38,38,2025-04-16 20:44:35,-3.017036921108381,0.031053814544234462
T08,38,38,2025-04-16 20:44:54,-3.045584266491331,0.01652072952121619
T08,38,38,2025-04-16 20:45:13,-3.079415967862778,0.01620712661799168
T08,38,38,2025-04-16 21:45:32,-2.12973476592717,2.2408322090714665
T08,38,38,2025-04-16 21:45:51,-2.0033370969073707,2.2574062278546463
T08,38,38,2025-04-16 21:46:10,-3.013658341294842,0.0453995078540921
T08,38,38,2025-04-16 21:46:29,-3.077074395601024,0.016366977359478146
T08,38,38,2025-04-16 22:46:48,-3.0869669761329934,0.02753228660628659
T08,38,38,2025-04-16 22:47:07,-3.0479284706344,0.011084105949703753
T08,38,38,2025-04-16 22:47:26,-3.011438880094469,2.2030907467685577
T08,38,38,2025-04-16 22:47:45,-2.995901196607023,0.028125367576548432
T08,38,38,2025-04-16 23:48:04,-3.037736920161714,0.011973187714372904
T08,38,38,2025-04-16 23:48:23,-3.0698925637680676,0.029723189550303515
T08,38,38,2025-04-16 23:48:42,-3.227015622419189,2.234568106547319
T08,38,38,2025-04-16 23:49:01,-3.0752848470274,0.024647112312132843
T08,38,38,2025-04-17 00:49:20,-3.005957955073559,0.042208568730387544
T08,38,38,2025-04-17 00:49:39,-2.7177385850497986,2.336124971360764
T08,38,38,2025-04-17 00:49:58,-3.0316780180482064,0.012610067694152134
T08,38,38,2025-04-17 00:50:17,-3.0710491022799595,0.01595978592574028
T08,38,38,2025-04-17 01:50:36,-3.028550917787761,0.021008101186236392
T08,38,38,2025-04-17 01:50:55,-3.0822923061427043,0.022397436825969945
T08,38,38,2025-04-17 01:51:14,-3.0178062711394795,0.017676106539882212
T08,38,38,2025-04-17 01:51:33,-3.0508013628227935,0.01388648331859116
T08,38,38,2025-04-17 02:51:52,-3.039843561687793,0.02342157067049444
T08,38,38,2025-04-17 02:52:11,-3.0242692264953397,0.013651333339086146
T08,38,38,2025-04-17 02:52:30,-3.0049965971325525,0.05502972732990559
T08,38,38,2025-04-17 02:52:49,-3.0232407987794923,0.022092045813747418
T08,38,38,2025-04-17 03:53:08,-3.0346128448853773,0.010905797086024467
T08,38,38,2025-04-17 03:53:27,-3.0599026772559985,0.013118913967155041
T08,38,38,2025-04-17 03:53:46,-3.0800440909140514,0.0252790784510945
T08,38,38,2025-04-17 03:54:05,-3.061951198353886,0.014858043309085557
T08,38,38,2025-04-17 04:54:24,-2.994617124319388,0.03145166811128033
T08,38,38,2025-04-17 04:54:43,-3.0854066067403596,0.040511849494433726
T08,38,38,2025-04-17 04:55:02,-3.0558563285565286,0.017477935686743527
T08,38,38,2025-04-17 04:55:21,-3.0253865692824595,0.018179300492804657
T08,38,38,2025-04-17 05:55:40,-3.129001096530397,2.3205014755906612
